setname,family,day,R,naive_R,risk_bps,mins,or_ratio,ambiguous,cost_risk,gross_R,grade,year
ORB OR15 R3,ORB,2025-07-10,2.886746522411125,2.886746522411125,5.886500625497395,15.0,0.8898087902997502,False,11.32534775888748,3.0,B,2025
ORB OR15 R3,ORB,2025-07-10,2.863874441533621,6.98248683861756,4.897439350680963,149.0,0.8898087902997502,False,13.612555846637903,3.0,B,2025
ORB OR15 R3,ORB,2025-07-11,-1.0840268497144943,-1.0840268497144943,7.933971926019607,15.0,1.1765888781164735,False,8.402684971449434,-0.9999999999999999,A,2025
ORB OR15 R3,ORB,2025-07-11,-1.0856335848326584,-1.0856335848326584,7.785107536598393,27.0,1.1765888781164735,False,8.56335848326584,-1.0,A,2025
ORB OR15 R3,ORB,2025-07-14,-1.0669895281627086,-1.0669895281627086,9.951804184191635,15.0,1.6414620895146985,False,6.698952816270859,-1.0,A,2025
ORB OR15 R3,ORB,2025-07-14,-1.125514585103356,-1.125514585103356,5.311467716024362,51.0,1.6414620895146985,False,12.55145851033558,-1.0,A,2025
ORB OR15 R3,ORB,2025-07-15,-1.0898117200086477,-1.0898117200086477,7.422936189201978,30.0,1.2453450361527658,False,8.981172000864774,-1.0,A,2025
ORB OR15 R3,ORB,2025-07-15,-1.0989417078371724,-1.0989417078371724,6.73797411869821,82.0,1.2453450361527658,False,9.894170783717229,-1.0,B,2025
ORB OR15 R3,ORB,2025-07-16,-1.0730945291903262,-1.0730945291903262,9.120609627716114,15.0,1.0858301459484614,False,7.309452919032632,-0.9999999999999999,A,2025
ORB OR15 R3,ORB,2025-07-16,-1.0781359515613098,-1.0781359515613098,8.532137298456815,19.0,1.0858301459484614,False,7.813595156130984,-1.0,A,2025
ORB OR15 R3,ORB,2025-07-17,2.9107967261333934,2.9107967261333934,7.473567255654685,15.0,0.796912791638103,False,8.920327386660638,2.9999999999999996,B,2025
ORB OR15 R3,ORB,2025-07-18,-1.1190333507723393,-1.1190333507723393,5.600671260122035,22.0,0.6545018776433833,False,11.903335077233947,-0.9999999999999999,B,2025
ORB OR15 R3,ORB,2025-07-18,2.8734512031371966,2.8734512031371966,5.268060093763088,33.0,0.6545018776433833,False,12.654879686280351,3.0,B,2025
ORB OR15 R3,ORB,2025-07-21,2.873860550705803,2.873860550705803,5.285155995185843,15.0,1.2172552838708972,False,12.613944929419715,3.0,A,2025
ORB OR15 R3,ORB,2025-07-22,2.912012349143974,2.912012349143974,7.576820839978227,15.0,1.1862386411665489,False,8.79876508560261,3.0,A,2025
ORB OR15 R3,ORB,2025-07-22,0.7009112386093201,6.265216555613449,11.814194577353444,244.0,1.1862386411665489,False,5.642929463381244,0.7573405332431326,B,2025
ORB OR15 R3,ORB,2025-07-23,-1.0865937788727962,-1.0865937788727962,7.698782468495584,15.0,1.0909522184525389,False,8.659377887279621,-1.0,A,2025
ORB OR15 R3,ORB,2025-07-23,-1.1091998805965604,-1.1091998805965604,7.6451079418134436,21.0,1.0909522184525389,False,8.720173367604948,-1.0219981469205108,A,2025
ORB OR15 R3,ORB,2025-07-24,-1.081831740515485,-1.081831740515485,8.146798081858151,18.0,1.039397128883176,False,8.183174051548495,-1.0,A,2025
ORB OR15 R3,ORB,2025-07-24,-1.1225333636886117,-1.1225333636886117,5.440695061312735,42.0,1.039397128883176,False,12.253336368861167,-1.0,A,2025
ORB OR15 R3,ORB,2025-07-25,2.8881308272413646,2.8881308272413646,5.959342062044576,18.0,0.6221098252050892,False,11.186917275863532,3.0,B,2025
ORB OR15 R3,ORB,2025-07-28,-1.106218896164655,-1.106218896164655,6.276347154212881,15.0,0.5462639654105698,False,10.621889616465513,-1.0,B,2025
ORB OR15 R3,ORB,2025-07-28,-1.114369170645253,-1.114369170645253,5.829076690033138,21.0,0.5462639654105698,False,11.436917064525305,-0.9999999999999999,B,2025
ORB OR15 R3,ORB,2025-07-29,2.8761732180068784,2.8761732180068784,5.383864911418745,19.0,0.7938743281851233,False,12.382678199312176,3.0,B,2025
ORB OR15 R3,ORB,2025-07-30,-1.0876983391986188,-1.0876983391986188,7.601816325812084,15.0,0.8160060671311256,False,8.769833919861886,-1.0,B,2025
ORB OR15 R3,ORB,2025-07-30,2.831669073806584,2.831669073806584,3.9604526734478447,52.0,0.8160060671311256,False,16.833092619341613,3.0000000000000004,B,2025
ORB OR15 R3,ORB,2025-07-31,-1.0647398192594615,-1.0647398192594615,10.297629407873847,15.0,1.776825523495312,False,6.473981925946133,-1.0000000000000002,A,2025
ORB OR15 R3,ORB,2025-07-31,2.892795200843412,2.892795200843412,6.218627075574323,64.0,1.776825523495312,False,10.720479915658819,3.0000000000000004,B,2025
ORB OR15 R3,ORB,2025-08-01,2.9547875826247325,2.9547875826247325,14.745211722108785,15.0,2.351049284721717,False,4.521241737526733,3.0,A+,2025
ORB OR15 R3,ORB,2025-08-01,-1.036460096100596,-1.052389289271691,18.284830210740182,42.0,2.351049284721717,False,3.6460096100595933,-1.0000000000000002,A+,2025
ORB OR15 R3,ORB,2025-08-04,2.91148529900727,2.91148529900727,7.531705571952623,15.0,1.3192049502293588,False,8.851470099273024,3.0,A,2025
ORB OR15 R3,ORB,2025-08-04,2.9183127763683703,4.8505088850362945,8.161210982919574,85.0,1.3192049502293588,False,8.168722363163008,3.0000000000000004,B,2025
ORB OR15 R3,ORB,2025-08-05,-1.0751049415515317,-1.0751049415515317,8.876468750185335,15.0,0.7034852049929506,False,7.5104941551531645,-1.0,B,2025
ORB OR15 R3,ORB,2025-08-05,2.9162933928498695,2.9162933928498695,7.964325509824772,47.0,0.7034852049929506,False,8.370660715013072,3.0000000000000004,B,2025
ORB OR15 R3,ORB,2025-08-06,-1.0631347398030973,-1.0631347398030973,10.559426850349713,18.0,0.9468919720112622,False,6.313473980309715,-1.0,B,2025
ORB OR15 R3,ORB,2025-08-06,-1.0664930601845635,-1.0664930601845635,10.026108962592682,24.0,0.9468919720112622,False,6.649306018456351,-1.0,B,2025
ORB OR15 R3,ORB,2025-08-07,-1.0795854157675622,-1.0795854157675622,8.376744158926547,15.0,0.7576956982427445,False,7.958541576756212,-1.0,B,2025
ORB OR15 R3,ORB,2025-08-07,-1.0843768449639843,-1.0843768449639843,7.901061801389094,26.0,0.7576956982427445,False,8.437684496398438,-1.0,B,2025
ORB OR15 R3,ORB,2025-08-08,2.9052314184137975,2.9052314184137975,7.034680223215744,15.0,0.9773179134185488,False,9.476858158620253,3.0,B,2025
ORB OR15 R3,ORB,2025-08-08,2.9363192243771943,8.157437525563868,10.468884214216722,130.0,0.9773179134185488,False,6.368077562280562,3.0,B,2025
ORB OR15 R3,ORB,2025-08-11,-1.1174622640545149,-1.1174622640545149,5.67558161791657,27.0,0.6954033551972671,False,11.746226405451484,-1.0,B,2025
ORB OR15 R3,ORB,2025-08-11,-1.1461729713918614,-1.1461729713918614,4.560806695784154,39.0,0.6954033551972671,False,14.617297139186133,-1.0,B,2025
